Layer: model.layers.0.self_attn.q_proj                    | Rank: 1023/1536
Layer: model.layers.18.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.18.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.19.self_attn.q_proj                   | Rank: 1460/1536
Layer: model.layers.19.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.19.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.19.self_attn.o_proj                   | Rank: 1475/1536
Layer: model.layers.19.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.19.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.19.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.20.self_attn.q_proj                   | Rank: 1466/1536
Layer: model.layers.20.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.20.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.20.self_attn.o_proj                   | Rank: 1464/1536
Layer: model.layers.20.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.20.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.20.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.21.self_attn.q_proj                   | Rank: 1467/1536
Layer: model.layers.21.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.21.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.21.self_attn.o_proj                   | Rank: 1485/1536
Layer: model.layers.21.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.21.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.21.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.22.self_attn.q_proj                   | Rank: 1472/1536
Layer: model.layers.22.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.22.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.22.self_attn.o_proj                   | Rank: 1486/1536
Layer: model.layers.22.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.22.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.22.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.23.self_attn.q_proj                   | Rank: 1463/1536
Layer: model.layers.23.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.23.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.23.self_attn.o_proj                   | Rank: 1490/1536
Layer: model.layers.23.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.23.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.23.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.24.self_attn.q_proj                   | Rank: 1469/1536
Layer: model.layers.24.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.24.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.24.self_attn.o_proj                   | Rank: 1500/1536
Layer: model.layers.24.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.24.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.24.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.25.self_attn.q_proj                   | Rank: 1462/1536
Layer: model.layers.25.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.25.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.25.self_attn.o_proj                   | Rank: 1468/1536
Layer: model.layers.25.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.25.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.25.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.26.self_attn.q_proj                   | Rank: 1453/1536
Layer: model.layers.26.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.26.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.26.self_attn.o_proj                   | Rank: 1478/1536
Layer: model.layers.26.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.26.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.26.mlp.down_proj                      | Rank: 1536/1536
Layer: model.layers.27.self_attn.q_proj                   | Rank: 1460/1536
Layer: model.layers.27.self_attn.k_proj                   | Rank: 256/256
Layer: model.layers.27.self_attn.v_proj                   | Rank: 256/256
Layer: model.layers.27.self_attn.o_proj                   | Rank: 1406/1536
Layer: model.layers.27.mlp.gate_proj                      | Rank: 1536/1536
Layer: model.layers.27.mlp.up_proj                        | Rank: 1536/1536
Layer: model.layers.27.mlp.down_proj                      | Rank: 1536/1536
Layer: lm_head                                            | Rank: 1531/1536
