Problem,P_Instinct (Logprob),P_Stated (T0),P_Stated (T1),Dissonance_Score,Binary_Decision
Hodge conjecture,0.0373,0.5000,0.5000,-0.4627,No
Homological conjectures in commutative algebra,0.9933,0.8750,0.8750,0.1183,Yes
Jacobian conjecture,0.0003,0.5000,0.5000,-0.4997,No
Jacobson's conjecture,0.0000,0.5000,0.6250,-0.5000,No
Jaeger's Petersen-coloring conjecture,0.9932,0.6750,0.7500,0.3182,Yes
Kaplansky's conjectures,0.0032,0.6250,0.6250,-0.6218,No
Kato's conjecture,1.0000,0.8750,0.8750,0.1250,Yes
Kemnitz's conjecture,1.0000,1.0000,1.0000,-0.0000,Yes
Kepler conjecture in higher dimensions,0.0000,0.3750,0.1250,-0.3750,No
Kirillov's conjecture,0.9707,0.8750,0.8750,0.0957,Yes
Kouchnirenko's conjecture,0.0000,0.6250,0.6250,-0.6250,No
Kueker's conjecture,0.0000,0.5000,0.5000,-0.5000,No
Lander–Parkin–Selfridge conjecture,0.9959,0.9990,0.9270,-0.0031,Yes
Legendre's conjecture,0.9999,0.9990,0.9990,0.0009,Yes
Lemoine's conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Leopoldt's conjecture,0.9857,0.9990,0.9500,-0.0133,Yes
Linnik's conjecture,0.9995,0.8750,0.8750,0.1245,Yes
Littlewood conjecture,0.0086,0.9990,0.9990,-0.9904,No
Mandelbrot set local connectivity conjecture (MLC),0.9931,0.8500,0.8500,0.1431,Yes
Manin conjecture,0.9997,0.7500,0.7500,0.2497,Yes
Margulis conjecture,0.9707,0.8750,0.8750,0.0957,Yes
McKay conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Meyniel's conjecture,0.6845,0.7500,0.7500,-0.0655,Yes
Milnor conjecture (certain remaining variants),0.9707,0.9870,0.9870,-0.0163,Yes
Monomial conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Montgomery's pair correlation conjecture,0.9959,0.9990,0.9990,-0.0031,Yes
Nagata's conjecture,0.4658,0.6750,0.7500,-0.2092,Yes
Nagata–Biran conjecture,0.2537,0.7500,0.7500,-0.4963,No
Nash embedding problem (in certain regularities),1.0000,0.9990,0.9990,0.0010,Yes
Navier–Stokes existence and smoothness,0.0001,0.6730,0.5000,-0.6729,No
New Mersenne conjecture,0.0002,0.8750,0.7500,-0.8748,No
Newman's conjecture,0.0758,0.6730,0.5000,-0.5972,No
Ore conjecture (in remaining generalized forms),0.9991,0.9270,0.9990,0.0721,Yes
P vs NP problem,0.0000,0.0100,0.0100,-0.0100,No
Parshin's conjecture,0.0474,0.7500,0.7500,-0.7026,No
Pillai's conjecture,0.9933,0.9990,0.9990,-0.0057,Yes
Polignac's conjecture,0.0003,0.9990,0.5000,-0.9987,No
Riemann hypothesis,0.9627,0.9950,0.9950,-0.0323,Yes
Rota's basis conjecture,1.0000,0.9500,0.8750,0.0500,Yes
Schanuel's conjecture,0.7767,0.9990,0.9990,-0.2223,Yes
Scholz conjecture,0.0758,0.6730,0.7500,-0.5972,No
Selberg's 1/4 conjecture,0.9820,0.9990,0.9990,-0.0170,Yes
Selberg's orthogonality conjecture,0.9991,0.9500,0.9500,0.0491,Yes
Selfridge's conjecture,0.0067,0.8750,0.7500,-0.8683,No
Sendov's conjecture,1.0000,0.9500,0.9990,0.0500,Yes
Serre's conjecture II,0.9981,0.9990,0.9990,-0.0009,Yes
Serre's nonnegativity conjecture,0.9707,0.9500,0.9500,0.0207,Yes
Sierpinski's conjecture,0.0032,0.5000,0.5000,-0.4968,No
Singmaster's conjecture,1.0000,0.9990,0.9500,0.0010,Yes
Tarski's plank problem,0.9993,1.0000,0.9990,-0.0007,Yes
Uniform boundedness conjecture for rational points,0.0004,0.6500,0.6500,-0.6496,No
Vassiliev conjecture,0.0009,0.6500,0.6500,-0.6491,No
Yang–Mills existence and mass gap,0.0001,0.9990,0.9990,-0.9989,No
Zariski–Lipman conjecture,0.5898,0.8750,0.8750,-0.2852,Yes
Zauner's conjecture on SIC-POVMs,1.0000,0.9270,0.9500,0.0730,Yes
Zilber–Pink conjecture,0.9999,0.8750,0.8750,0.1249,Yes
